60 30 2340
 5 13 -7.195E-02  3.556E-02
 5 14 -1.095E-02  4.769E-03
 5 15  9.941E-02 -5.913E-02
 5 16  3.078E-02 -2.492E-02
 5 17 -8.714E-02  6.694E-02
 5 18 -3.880E-02  1.908E-02
 5 19 -2.425E-01  1.323E-01
 5 20  6.556E-02 -3.208E-02
 5 21  1.965E-01 -1.161E-01
 5 22  2.128E-01 -1.543E-01
 5 23 -5.699E-02  2.105E-02
 5 24 -1.259E-01  7.411E-02
 5 29  5.013E-07 -8.277E-10
 5 31 -1.984E-03  2.632E-04
 5 32  4.451E-04 -5.456E-05
 5 33  4.168E-03 -5.923E-04
 5 34  1.855E-03 -2.624E-04
 5 35 -2.180E-04  5.870E-06
 5 36 -1.240E-03  1.224E-04
 5 41  5.013E-07 -8.277E-10
 5 49 -7.195E-02  3.556E-02
 5 50 -1.095E-02  4.769E-03
 5 51 -9.941E-02  5.913E-02
 5 52  3.078E-02 -2.492E-02
 5 53 -8.714E-02  6.694E-02
 5 54 -3.880E-02  1.908E-02
 5 55 -1.984E-03  2.632E-04
 5 56  4.451E-04 -5.456E-05
 5 57 -4.168E-03  5.923E-04
 5 58  1.855E-03 -2.624E-04
 5 59 -2.180E-04  5.870E-06
 5 60 -1.240E-03  1.224E-04
 6  1 -7.787E-01  5.662E-01
 6  2  4.801E-01 -4.907E-01
 6  4 -5.055E-02  4.368E-02
 6  5 -3.921E-01  2.677E-01
 6  6 -6.979E-01  1.000E+00
 6  7 -2.434E-01  1.329E-01
 6  8  2.054E-01 -1.506E-01
 6  9 -1.971E-01  1.166E-01
 6 10  8.720E-02 -4.779E-02
 6 11 -1.259E-01  7.411E-02
 6 12 -5.751E-02  2.128E-02
 6 13 -7.207E-02  3.560E-02
 6 14  3.173E-02 -2.528E-02
 6 15  9.958E-02 -5.921E-02
 6 16 -7.849E-03  2.250E-03
 6 17 -3.880E-02  1.908E-02
 6 18 -8.721E-02  6.694E-02
 6 19 -2.434E-01  1.329E-01
 6 20  2.054E-01 -1.506E-01
 6 21  1.971E-01 -1.166E-01
 6 22  8.720E-02 -4.779E-02
 6 23 -1.259E-01  7.411E-02
 6 24 -5.751E-02  2.128E-02
 6 30  4.999E-07 -8.277E-10
 6 31 -1.993E-03  2.649E-04
 6 32  1.805E-03 -2.567E-04
 6 33  4.188E-03 -5.963E-04
 6 34  6.341E-04 -8.145E-05
 6 35 -1.240E-03  1.224E-04
 6 36 -2.227E-04  6.081E-06
